caractere,sens,lecture
接,Touch / Contact / Adjoin,せつ しょう | つ.ぐ
占,Fortune-telling / Divining / Forecasting,せん | し.める うらな.う
胃,Stomach / Paunch / Crop,い | -
悩,Trouble / Worry / In Pain,のう | なや.む なや.ます なや.ましい なやみ
昇,Rise Up,しょう | のぼ.る
濃,Concentrated / Thick / Dark,のう | こ.い
極,Poles / Settlement / Conclusion,きょく ごく | きわ.める きわ.まる きわ.まり きわ.み き.める -ぎ.め き.まる
逆,Inverted / Reverse / Opposite,ぎゃく げき | さか さか.さ さか.らう
巨,Gigantic / Big / Large,きょ | -
庫,Warehouse / Storehouse,こ く | くら
児,Newborn Babe / Child / Young Of Animals,じ に げい | こ -こ -っこ
凍,Frozen / Congeal / Refrigerate,とう | こお.る こご.える こご.る い.てる し.みる
幼,Infancy / Childhood,よう | おさな.い
清,Pure / Purify / Cleanse,せい しょう しん | きよ.い きよ.まる きよ.める
録,Record,ろく | しる.す と.る
券,Ticket,けん | -
移,Shift / Move / Change,い | うつ.る うつ.す
並,Row / And / Besides,へい ほう | な.み なみ なら.べる なら.ぶ なら.びに
乾,Drought / Dry / Dessicate,かん けん | かわ.く かわ.かす ほ.す ひ.る いぬい
欧,Europe,おう | うた.う は.く
臣,Retainer / Subject,しん じん | -
略,Abbreviation / Omission / Outline,りゃく | ほぼ はぶ.く おか.す おさ.める はかりごと はか.る
航,Navigate / Sail / Cruise,こう | -
板,Plank / Board / Plate,はん ばん | いた
詰,Packed / Close / Pressed,きつ きち | つ.める つ.め -づ.め つ.まる つ.む
照,Illuminate / Shine / Compare,しょう | て.る て.らす て.れる
快,Cheerful / Pleasant / Agreeable,かい | こころよ.い
版,Printing Block / Printing Plate / Edition,はん | -
預,Deposit / Custody / Leave With,よ | あず.ける あず.かる
延,Prolong / Stretching,えん | の.びる の.べる の.べ の.ばす
翌,The Following / Next,よく | -
符,Token / Sign / Mark,ふ | -
編,Compilation / Knit / Plait,へん | あ.む -あ.み
普,Universal / Wide(ly) / Generally,ふ | あまね.く あまねし
掃,Sweep / Brush,そう しゅ | は.く
泥,Mud / Mire / Adhere To,でい ない で に | どろ なず.む
棒,Rod / Stick / Cane,ぼう | -
孫,Grandchild / Descendants,そん | まご
帯,Sash / Belt / Obi,たい | お.びる おび
粉,Flour / Powder / Dust,ふん | デシメートル こ こな
菜,Vegetable / Side Dish / Greens,さい | な
貨,Freight / Goods / Property,か | たから
陸,Land / Six,りく ろく | おか
均,Level / Average,きん | なら.す
採,Pick / Take / Fetch,さい | と.る
永,Eternity / Long / Lengthy,えい | なが.い
液,Fluid / Liquid / Juice,えき | -
績,Exploits / Achievements / Unreeling Cocoons,せき | -
複,Duplicate / Double / Compound,ふく | -
党,Party / Faction / Clique,とう | なかま むら
卵,Egg / Ovum / Spawn,らん | たまご
捨,Discard / Throw Away / Abandon,しゃ | す.てる
汚,Dirty / Pollute / Disgrace,お | けが.す けが.れる けが.らわしい よご.す よご.れる きたな.い
机,Desk / Table,き | つくえ
簡,Simplicity / Brevity,かん けん | えら.ぶ ふだ
誌,Document / Records,し | -
宝,Treasure / Wealth / Valuables,ほう | たから
尊,Revered / Valuable / Precious,そん | たっと.い とうと.い たっと.ぶ とうと.ぶ
敬,Awe / Respect / Honor,けい きょう | うやま.う
灰,Ashes / Puckery Juice / Cremate,かい | はい
砂,Sand,さ しゃ | すな
著,Renowned / Publish / Write,ちょ ちゃく | あらわ.す いちじる.しい
蒸,Steam / Heat / Sultry,じょう せい | む.す む.れる む.らす
蔵,Storehouse / Hide / Own,ぞう そう | くら おさ.める かく.れる
装,Attire / Dress / Pretend,そう しょう | よそお.う よそお.い
裏,Back / Amidst / In,り | うら
諸,Various / Many / Several,しょ | もろ
臓,Entrails / Viscera / Bowels,ぞう | はらわた
純,Genuine / Purity / Innocence,じゅん | -
紅,Crimson / Deep Red,こう く | べに くれない あか.い
拝,Worship / Adore / Pray To,はい | おが.む おろが.む
劇,Drama / Play,げき | -
承,Acquiesce / Hear / Listen To,しょう じょう | うけたまわ.る う.ける
